curriculum,session,activitiable_type,count
식량안보,1.0,BoardActivity,249
식량안보,1.0,EmbeddedActivity,249
식량안보,1.0,PdfActivity,1245
식량안보,1.0,VideoActivity,498
식량안보,2.0,BoardActivity,249
식량안보,2.0,CodapActivity,249
식량안보,2.0,PdfActivity,1494
식량안보,2.0,VideoActivity,249
식량안보,3.0,BoardActivity,249
식량안보,3.0,CodapActivity,249
식량안보,3.0,PdfActivity,1245
식량안보,3.0,VideoActivity,249
식량안보,4.0,PdfActivity,1743
식량안보,4.0,StudioActivity,498
식량안보,4.0,VideoActivity,498
식량안보,5.0,PdfActivity,747
식량안보,5.0,StudioActivity,249
식량안보,6.0,PdfActivity,747
식량안보,6.0,StudioActivity,249
식량안보,7.0,PdfActivity,1245
식량안보,7.0,SheetActivity,249
식량안보,7.0,StudioActivity,249
식량안보,8.0,PdfActivity,747
식량안보,8.0,QuizActivity,249
식량안보,8.0,StudioActivity,249
식량안보,9.0,PdfActivity,747
식량안보,9.0,QuizActivity,249
식량안보,9.0,StudioActivity,249
식량안보,10.0,PdfActivity,747
식량안보,10.0,StudioActivity,249
식량안보,11.0,PdfActivity,498
식량안보,11.0,StudioActivity,249
식량안보,12.0,BoardActivity,498
식량안보,12.0,EmbeddedActivity,249
식량안보,12.0,PdfActivity,498
식량안보,12.0,SheetActivity,498
식량안보,13.0,BoardActivity,249
식량안보,13.0,EmbeddedActivity,249
식량안보,13.0,PdfActivity,498
식량안보,13.0,SheetActivity,498
식량안보,13.0,StudioActivity,249
식량안보,14.0,PdfActivity,498
식량안보,14.0,SheetActivity,249
식량안보,14.0,StudioActivity,249
식량안보,15.0,BoardActivity,249
식량안보,15.0,EmbeddedActivity,498
식량안보,15.0,PdfActivity,498
식량안보,15.0,SheetActivity,249
해양쓰레기,1.0,BoardActivity,510
해양쓰레기,1.0,EmbeddedActivity,246
해양쓰레기,1.0,PdfActivity,1230
해양쓰레기,1.0,VideoActivity,492
해양쓰레기,2.0,BoardActivity,246
해양쓰레기,2.0,PdfActivity,984
해양쓰레기,2.0,VideoActivity,246
해양쓰레기,3.0,BoardActivity,246
해양쓰레기,3.0,PdfActivity,1230
해양쓰레기,3.0,VideoActivity,246
해양쓰레기,4.0,CodapActivity,1230
해양쓰레기,4.0,PdfActivity,2460
해양쓰레기,4.0,QuizActivity,492
해양쓰레기,4.0,VideoActivity,738
해양쓰레기,5.0,CodapActivity,738
해양쓰레기,5.0,EmbeddedActivity,246
해양쓰레기,5.0,PdfActivity,1230
해양쓰레기,5.0,VideoActivity,246
해양쓰레기,6.0,BoardActivity,492
해양쓰레기,6.0,CodapActivity,246
해양쓰레기,6.0,PdfActivity,1230
해양쓰레기,7.0,BoardActivity,264
해양쓰레기,7.0,CodapActivity,738
해양쓰레기,7.0,PdfActivity,1230
해양쓰레기,7.0,SheetActivity,246
해양쓰레기,7.0,VideoActivity,492
해양쓰레기,8.0,PdfActivity,984
해양쓰레기,8.0,StudioActivity,1476
해양쓰레기,9.0,PdfActivity,984
해양쓰레기,9.0,StudioActivity,984
해양쓰레기,10.0,PdfActivity,984
해양쓰레기,10.0,StudioActivity,510
해양쓰레기,11.0,BoardActivity,20
해양쓰레기,11.0,CodapActivity,306
해양쓰레기,11.0,PdfActivity,1064
해양쓰레기,11.0,QuizActivity,20
해양쓰레기,11.0,StudioActivity,492
해양쓰레기,11.0,VideoActivity,20
해양쓰레기,12.0,BoardActivity,492
해양쓰레기,12.0,EmbeddedActivity,246
해양쓰레기,12.0,PdfActivity,492
해양쓰레기,12.0,SheetActivity,492
해양쓰레기,13.0,BoardActivity,246
해양쓰레기,13.0,CodapActivity,246
해양쓰레기,13.0,EmbeddedActivity,246
해양쓰레기,13.0,PdfActivity,492
해양쓰레기,13.0,SheetActivity,492
해양쓰레기,13.0,StudioActivity,246
해양쓰레기,14.0,CodapActivity,246
해양쓰레기,14.0,PdfActivity,492
해양쓰레기,14.0,SheetActivity,246
해양쓰레기,14.0,StudioActivity,246
해양쓰레기,15.0,BoardActivity,246
해양쓰레기,15.0,EmbeddedActivity,492
해양쓰레기,15.0,PdfActivity,492
해양쓰레기,15.0,SheetActivity,246
