classroom_name,competency,avg_progress,n_activities,n_students
경포고등학교 해양쓰레기,CT,0.0,91,14
경포고등학교 해양쓰레기,DA,0.0,685,18
경포고등학교 해양쓰레기,DC,0.0,982,18
경포고등학교 해양쓰레기,DI,0.0,132,18
경포고등학교 해양쓰레기,DV,0.0,18,7
광주수피아여자고등학교 해양쓰레기,CT,0.0,54,13
광주수피아여자고등학교 해양쓰레기,DA,0.0,334,14
광주수피아여자고등학교 해양쓰레기,DC,0.0,98,9
광주수피아여자고등학교 해양쓰레기,DI,0.0,4,2
군산대성중학교 해양쓰레기,CT,0.0,38,7
군산대성중학교 해양쓰레기,DA,0.0,392,9
군산대성중학교 해양쓰레기,DC,0.0,144,5
군산대성중학교 해양쓰레기,DI,0.0,46,5
대구과학고등학교 식량안보,CT,0.0,3,2
대구과학고등학교 식량안보,DA,0.0,18,7
대구과학고등학교 식량안보,DC,0.0,57,5
대구과학고등학교 식량안보,DI,0.0,64,6
대구과학고등학교 식량안보,DV,0.0,8,2
대원여자고등학교 식량안보,CT,0.0,5,3
대원여자고등학교 식량안보,DA,0.0,98,7
대원여자고등학교 식량안보,DC,0.0,128,8
대원여자고등학교 식량안보,DI,0.0,13,4
대전대성고등학교 기후변화,DC,0.0,55,9
대진전자통신고등학교 해양쓰레기,CT,0.0,52,15
대진전자통신고등학교 해양쓰레기,DA,0.0,3,1
대진전자통신고등학교 해양쓰레기,DC,0.0,484,15
대진전자통신고등학교 해양쓰레기,DI,0.0,25,5
대진전자통신고등학교 해양쓰레기,DV,0.0,3,3
동국대학교사범대학부속영석고등학교 해양쓰레기,CT,0.0,11,6
동국대학교사범대학부속영석고등학교 해양쓰레기,DA,0.0,178,7
동국대학교사범대학부속영석고등학교 해양쓰레기,DC,0.0,466,6
동국대학교사범대학부속영석고등학교 해양쓰레기,DI,0.0,42,6
동국대학교사범대학부속영석고등학교 해양쓰레기,DV,0.0,2,1
미래산업과학고등학교 식량안보 1반,CT,0.0,21,4
