classroom_name,school,curriculum,n_students,n_pre,n_post,n_paired,avg_progress,sessions_covered
장기중학교 기후변화,장기중학교,기후변화,25,23,23,22,0.147873597625,15
경포고등학교 해양쓰레기,경포고등학교,해양쓰레기,20,18,18,18,0.8355895558928572,15
백마고등학교 식량안보,백마고등학교,식량안보,21,19,17,17,0.7344597068509985,15
미래산업과학고등학교 식량안보 2반,미래산업과학고등학교 식량안보 2반,식량안보,19,18,17,16,0.7576289491794002,15
한동글로벌학교 기후변화 B반,한동글로벌학교 기후변화 B반,기후변화,20,20,15,15,0.6053902549609376,15
신정고등학교 기후변화,신정고등학교,기후변화,18,18,15,15,0.44064900378906247,15
천안월봉고등학교 식량안보,천안월봉고등학교,식량안보,23,21,16,15,0.7337170764843385,15
신암중학교 기후변화,신암중학교,기후변화,14,14,14,14,0.8329738711383928,15
상일고등학교 해양쓰레기,상일고등학교,해양쓰레기,14,14,13,13,0.5404990065714286,15
상원고등학교 식량안보,상원고등학교,식량안보,14,14,12,12,0.7962376091397849,15
서귀포고등학교 식량안보,서귀포고등학교,식량안보,15,12,15,12,0.3590365243010753,15
포항중앙여자고등학교 해양쓰레기,포항중앙여자고등학교,해양쓰레기,16,16,11,11,0.5647071636725962,15
서귀포고등학교 해양쓰레기,서귀포고등학교,해양쓰레기,18,17,12,11,0.4003193036367521,15
미래산업과학고등학교 식량안보 1반,미래산업과학고등학교 식량안보 1반,식량안보,18,12,12,10,0.5906930599761051,15
영등포고등학교 해양쓰레기,영등포고등학교,해양쓰레기,12,12,9,9,0.43581153564102565,15
서령중학교 기후변화,서령중학교,기후변화,13,12,10,9,0.5627195477644231,15
천안두정중학교 해양쓰레기,천안두정중학교,해양쓰레기,18,10,8,8,0.28851324040517967,15
전주솔빛중학교 기후변화,전주솔빛중학교,기후변화,11,11,8,8,0.733268273515625,15
영동중학교 해양쓰레기,영동중학교,해양쓰레기,13,11,8,8,0.41263249873372776,15
장평중학교 해양쓰레기,장평중학교,해양쓰레기,13,13,7,7,0.5270183794674557,15
선덕고등학교 해양쓰레기,선덕고등학교,해양쓰레기,20,20,6,6,0.39344025545,15
대전대성고등학교 기후변화,대전대성고등학교,기후변화,11,11,6,6,0.2421783928267045,15
엘리스학교 해양쓰레기,엘리스학교,해양쓰레기,10,6,8,6,0.41516662461538467,15
예산고등학교 식량안보,예산고등학교,식량안보,20,7,17,5,0.6763827532209676,15
세종고등학교 식량안보,세종고등학교,식량안보,22,22,5,5,0.24807102659824046,15
산남고등학교 해양쓰레기,산남고등학교,해양쓰레기,8,8,4,4,0.2476156023884615,15
울산여자고등학교 해양쓰레기,울산여자고등학교,해양쓰레기,10,10,4,4,0.6274906293461538,15
와우고등학교 식량안보,와우고등학교,식량안보,16,3,16,3,0.7191549845430107,15
수원공업고등학교 식량안보,수원공업고등학교,식량안보,14,3,9,2,0.4716318322503841,15
화봉고등학교 식량안보,화봉고등학교,식량안보,6,6,2,2,0.4274617784946237,15
미림마이스터고등학교 식량안보,미림마이스터고등학교,식량안보,6,6,2,2,0.626948975985663,15
선덕고등학교 식량안보,선덕고등학교,식량안보,20,20,2,2,0.4275962991586022,15
성지여자고등학교 해양쓰레기,성지여자고등학교,해양쓰레기,8,8,2,2,0.515389715423077,15
동국대학교사범대학부속영석고등학교 해양쓰레기,동국대학교사범대학부속영석고등학교,해양쓰레기,7,1,7,1,0.48655856921978025,15
대원여자고등학교 식량안보,대원여자고등학교,식량안보,8,8,1,1,0.638877436155914,15
청주중학교 기후변화,청주중학교,기후변화,10,1,5,1,0.310607965234375,15
군산대성중학교 해양쓰레기,군산대성중학교,해양쓰레기,10,10,1,1,0.5063465889461538,15
대구과학고등학교 식량안보,대구과학고등학교,식량안보,11,1,7,1,0.48604231325855324,15
지평고등학교 식량안보,지평고등학교,식량안보,5,1,4,1,0.6587590939784945,15
광주수피아여자고등학교 해양쓰레기,광주수피아여자고등학교,해양쓰레기,17,0,13,0,0.47136238257013574,15
영등포고등학교 식량안보,영등포고등학교,식량안보,11,0,11,0,0.5718927300391006,15
예당고등학교 기후변화,예당고등학교,기후변화,20,5,0,0,0.14048180821875,15
복정고등학교 기후변화,복정고등학교,기후변화,7,4,0,0,0.2824492908816964,15
매성고등학교 기후변화,매성고등학교,기후변화,5,3,0,0,0.055156246875,15
진주동명중학교 기후변화,진주동명중학교,기후변화,21,11,0,0,0.11325564977306547,15
한동글로벌학교 기후변화 A반,한동글로벌학교 기후변화 A반,기후변화,20,19,0,0,0.34622969141015625,15
대진전자통신고등학교 해양쓰레기,대진전자통신고등학교,해양쓰레기,18,0,1,0,0.27213551585470086,15
전남여자고등학교 해양쓰레기,전남여자고등학교,해양쓰레기,14,0,0,0,0.2834562952527473,15
향동중학교 기후변화,향동중학교,기후변화,19,19,0,0,0.2833264995805921,15
