classroom_name,session,avg_progress,n_activities,n_students
School_01 해양쓰레기,8.0,0.8774553583333333,120,20
School_01 해양쓰레기,9.0,0.5858915437500001,80,20
School_01 해양쓰레기,10.0,0.9,40,20
School_01 해양쓰레기,11.0,0.6565151499999999,40,20
School_01 해양쓰레기,13.0,0.9,20,20
School_01 해양쓰레기,14.0,0.9,20,20
School_02 해양쓰레기,8.0,0.4505811764705882,102,17
School_02 해양쓰레기,9.0,0.3377703382352941,68,17
School_02 해양쓰레기,10.0,0.0,34,17
School_02 해양쓰레기,11.0,0.0,34,17
School_02 해양쓰레기,13.0,0.35294117647058826,17,17
School_02 해양쓰레기,14.0,0.29411764705882354,17,17
School_03 해양쓰레기,8.0,0.499735455,60,10
School_03 해양쓰레기,9.0,0.325729175,40,10
School_03 해양쓰레기,10.0,0.44643499999999997,20,10
School_03 해양쓰레기,11.0,0.50141775,20,10
School_03 해양쓰레기,13.0,0.5,10,10
School_03 해양쓰레기,14.0,0.2,10,10
School_04 식량안보,4.0,0.09090909090909091,22,11
School_04 식량안보,5.0,0.45454545454545453,11,11
School_04 식량안보,6.0,0.7337344545454545,11,11
School_04 식량안보,7.0,0.5280140909090908,11,11
School_04 식량안보,8.0,0.8197136363636364,11,11
School_04 식량안보,9.0,0.18181809090909093,11,11
School_04 식량안보,10.0,0.0969697,11,11
School_04 식량안보,11.0,0.4736841818181818,11,11
School_04 식량안보,13.0,0.45454545454545453,11,11
School_04 식량안보,14.0,0.6363636363636364,11,11
School_05 식량안보,4.0,0.5737846875,16,8
School_05 식량안보,5.0,0.3888889,8,8
School_05 식량안보,6.0,1.0,8,8
School_05 식량안보,7.0,0.952751125,8,8
School_05 식량안보,8.0,0.991071375,8,8
School_05 식량안보,9.0,0.98214275,8,8
School_05 식량안보,10.0,0.991666625,8,8
School_05 식량안보,11.0,0.9407895,8,8
School_05 식량안보,13.0,0.85,8,8
School_05 식량안보,14.0,0.375,8,8
School_07 해양쓰레기,8.0,0.3289728981481481,108,18
School_07 해양쓰레기,9.0,0.15012740277777778,72,18
School_07 해양쓰레기,10.0,0.4384312666666667,36,18
School_07 해양쓰레기,11.0,0.0,36,18
School_07 해양쓰레기,13.0,0.6111111111111112,18,18
School_07 해양쓰레기,14.0,0.8888888888888888,18,18
School_08 해양쓰레기,8.0,0.2923228714285714,42,7
School_08 해양쓰레기,9.0,0.33750875,28,7
School_08 해양쓰레기,10.0,0.42953100714285714,14,7
School_08 해양쓰레기,11.0,0.35546328571428576,14,7
School_08 해양쓰레기,13.0,0.2857142857142857,7,7
School_08 해양쓰레기,14.0,0.14285714285714285,7,7
School_10,4.0,0.3900763222222222,36,18
School_10,5.0,0.6573911444444445,18,18
School_10,6.0,0.8416666666666667,18,18
School_10,7.0,0.7611552777777777,18,18
School_10,8.0,0.7302852222222223,18,18
School_10,9.0,0.7908627777777778,18,18
School_10,10.0,0.6518518333333333,18,18
School_10,11.0,0.6666666666666666,18,18
School_10,13.0,0.34444444444444444,18,18
School_10,14.0,0.5,18,18
School_11,4.0,0.8284978842105263,38,19
School_11,5.0,0.9415204736842104,19,19
School_11,6.0,0.7403508789473685,19,19
School_11,7.0,0.7679425789473684,19,19
School_11,8.0,0.3849237736842105,19,19
School_11,9.0,0.6847503210526316,19,19
School_11,10.0,0.6947368421052631,19,19
